ObjectID,Lead_ID,Name,Name_Language_Code,Name_Language_Code_Text,Account_Party_Name,Main_Contact_Person_Name,Company,Contact_Information_Job_Title,Status_Text,Reason_Code_Text,Source_Text,Priority_Text,Start_Date,End_Date,Owner_Party_Name,Marketing_Unit_Name,Sales_Unit_Name,Sales_Territory_Name,Note
SYNTH-LEAD-000001,100000,Synthetic Lead Topic 07648,EN,English,Synthetic Account 00076,Synthetic Contact 00516,True,,Unqualified,,Trade Show,Normal,2021-08-17,2021-09-16,Synthetic Owner 0012,,,,Synthetic inquiry requested pricing and product suitability details.
SYNTH-LEAD-000002,100001,Synthetic Lead Topic 06382,EN,English,Synthetic Account 00446,Synthetic Contact 00523,True,R&D,Closed,Synthetic duplicate,Website Contact Form,Normal,2020-06-26,2020-07-26,Synthetic Owner 0001,,,Synthetic Territory 010,Synthetic inquiry requested pricing and product suitability details.
SYNTH-LEAD-000003,100002,Synthetic Web Request,EN,English,Synthetic Account 00046,Synthetic Contact 00266,True,Engineer,Unqualified,,Relevant Behavior Upon Campaigns,Normal,2/17/2021,2021-03-19,Synthetic Owner 0171,,Synthetic Sales Unit 011,Synthetic Territory 134,Synthetic customer requested technical product information.
SYNTH-LEAD-000004,100003,Synthetic Web Request,EN,English,Synthetic Account 00375,Synthetic Contact 00184,False,Manager,Unqualified,,e-Catalog,Normal,7/3/2021,2021-08-02,Synthetic Owner 0001,,Synthetic Sales Unit 008,Synthetic Territory 005,Synthetic customer requested technical product information.
SYNTH-LEAD-000005,100004,Synthetic Member Upload,EN,English,Synthetic Account 00423,Synthetic Contact 00004,True,R&D,Closed,Synthetic no potential,Trade Show,Low,2022-07-02,2022-08-01,Synthetic Owner 0451,,,Synthetic Territory 111,Synthetic inquiry requested pricing and product suitability details.
SYNTH-LEAD-000006,100005,Synthetic Lead Topic 05573,EN,English,Synthetic Account 00446,Synthetic Contact 00656,True,,Qualified,,Website Contact Form,Normal,2020-08-27,2020-09-26,Synthetic Owner 0001,,,,Synthetic inquiry requested pricing and product suitability details.
SYNTH-LEAD-000007,100006,Synthetic Web Request,EN,English,Synthetic Account 00112,Synthetic Contact 00664,True,Purchasing,Unqualified,,Web Member Registration,High,2019-06-12,7/12/2019,Synthetic Owner 0189,,,,Synthetic customer requested technical product information.
SYNTH-LEAD-000008,100007,Synthetic Member Registration,EN,English,Synthetic Account 00447,Synthetic Contact 00169,True,Purchaser,Unqualified,,Website Contact Form,Normal,9/25/2023,2023-11-20,Synthetic Owner 0352,,,,Synthetic customer requested technical product information.
SYNTH-LEAD-000009,100008,Synthetic Web Request,EN,English,Synthetic Account 00058,Synthetic Contact 00023,True,CEO,Closed,,Website Contact Form,Normal,11/12/2022,2023-02-23,Synthetic Owner 0859,,Synthetic Sales Unit 006,,Synthetic customer requested technical product information.
SYNTH-LEAD-000010,100009,Synthetic Lead Topic 11048,EN,English,Synthetic Account 00260,Synthetic Contact 00086,True,Material Planner,Closed,Synthetic no response,Sales,Normal,2020-08-27,2020-09-26,Synthetic Owner 0125,,Synthetic Sales Unit 029,,
SYNTH-LEAD-000011,100010,Synthetic Member Upload,EN,English,Synthetic Account 00235,Synthetic Contact 00048,True,Manager,Closed,Synthetic duplicate,Webinar,Normal,2020-04-04,5/4/2020,Synthetic Owner 0101,,,,Synthetic customer requested technical product information.
SYNTH-LEAD-000012,100011,Synthetic Web Request,EN,English,Synthetic Account 00158,Synthetic Contact 00582,True,,Converted,,Google Ads,Normal,2021-09-03,11/2/2021,Synthetic Owner 0031,,,,
SYNTH-LEAD-000013,100012,Synthetic Lead Topic 09046,EN,English,Synthetic Account 00012,Synthetic Contact 00625,True,CEO,Closed,,Website Contact Form,Normal,2023-10-03,2023-12-29,Synthetic Owner 0101,,,,Synthetic sales follow-up recorded an application question.
SYNTH-LEAD-000014,100013,Synthetic Member Upload,EN,English,Synthetic Account 00387,Synthetic Contact 00108,True,,Unqualified,,Website Contact Form,Normal,9/8/2021,2021-10-08,Synthetic Owner 0001,,Synthetic Sales Unit 011,,Synthetic sales follow-up recorded an application question.
SYNTH-LEAD-000015,100014,Synthetic Lead Topic 11336,EN,English,Synthetic Account 00168,Synthetic Contact 00523,True,R&D,Closed,Synthetic no response,Web Member Registration,Normal,2019-07-22,2019-08-21,Synthetic Owner 0014,,,Synthetic Territory 179,
SYNTH-LEAD-000016,100015,Synthetic Lead Topic 03733,EN,English,Synthetic Account 00331,Synthetic Contact 00126,True,R&D,Closed,Synthetic no further action,Website Contact Form,Normal,2020-08-27,2020-09-26,Synthetic Owner 0012,,Synthetic Sales Unit 014,Synthetic Territory 067,Synthetic inquiry requested pricing and product suitability details.
SYNTH-LEAD-000017,100016,Synthetic Web Request,EN,English,Synthetic Account 00206,Synthetic Contact 00258,True,Purchaser,Closed,Synthetic automatically closed,Website Contact Form,Normal,8/5/2018,2018-09-04,Synthetic Owner 0218,,Synthetic Sales Unit 057,,Synthetic inquiry requested pricing and product suitability details.
SYNTH-LEAD-000018,100017,Synthetic Web Request Variant,EN,English,Synthetic Account 00187,Synthetic Contact 00420,True,Engineer,Closed,Synthetic automatically closed,Web Member Registration,High,2022-01-06,2022-01-23,Synthetic Owner 0008,,,,Synthetic customer asked for an engineering follow-up.
SYNTH-LEAD-000019,100018,Synthetic Web Request,EN,English,Synthetic Account 00444,Synthetic Contact 00504,True,CEO,Unqualified,,Website Contact Form,Normal,2018-07-23,2018-08-22,Synthetic Owner 0005,,,,Synthetic customer asked for an engineering follow-up.
SYNTH-LEAD-000020,100019,Synthetic Catalog RFQ,EN,English,Synthetic Account 00048,Synthetic Contact 00613,True,CEO,Closed,Synthetic no potential,Sales,Normal,2020-08-25,2020-09-24,Synthetic Owner 0030,,Synthetic Sales Unit 014,Synthetic Territory 007,Synthetic customer asked for an engineering follow-up.
